,0
"1409 Centre St,West Roxbury, MA 02132,",7.21
"2350 Washington St,Boston, MA 02119,",3.48
"1427 Tremont St,Roxbury Crossing, MA 02120,",4.16
"120 Blackstone St,Boston, MA 02109,",4.47
"102 Broad St,Boston, MA 02110,",4.78
"82 Summer St,Boston, MA 02110,",3.6
"582 Dorchester Ave,Boston, MA 02127,",1.8
"1252 Washington St,Boston, MA 02118,",3.11
"243 Dorchester St,South Boston, MA 02127,",1.8
"204 Cambridge St,Boston, MA 02114,",5.97
"962 Blue Hill Ave,Dorchester Center, MA 02124,",5.65
"153 Sutherland Rd,Brighton, MA 02135,",9.94
"395 Dorchester St,Boston, MA 02127,",1.93
"93 Salem St,Boston, MA 02113,",4.54
"1508 Dorchester Ave,Dorchester, MA 02122,",2.17
"4025 Washington St,Roslindale, MA 02131,",6.46
"539 Dudley St,Roxbury, MA 02119,",2.17
"284 Amory St,The Milky Way Lounge,Jamaica Plain, MA 02130,",5.34
"361 Hanover St,Boston, MA 02113,",4.6
"111 Salem St,Boston, MA 02113,",4.54
"160 Massachusetts Ave,Boston, MA 02115,",4.16
"1 Blackfan Cir,Boston, MA 02115,",4.72
"436 Western Ave,Brighton, MA 02135,",8.64
"1282 Boylston,Boston, MA 02215,",7.71
"123 Stuart St,Boston, MA 02116,",3.67
"961 Commonwealth Ave,Boston, MA 02215,",8.57
"161 Blue Hill Ave,Roxbury, MA 02119,",2.49
"28 Damrell St,Ste 107,Boston, MA 02127,",2.11
"38 Brooks St,Boston, MA 02135,",11.5
"956 American Legion Hwy,Boston, MA 02131,",7.27
"305 Huntington Ave,Boston, MA 02115,",3.79
"1 Stuart St,Boston, MA 02116,",3.54
"535 Columbia Rd,Boston, MA 02125,",2.73
"256 Washington St,Brighton, MA 02135,",9.07
"600 Washington St,Boston, MA 02135,",11.56
"218 Market St,Brighton, MA 02135,",9.01
"483 E Broadway,Boston, MA 02127,",2.17
"1282 Hyde Park Ave,Hyde Park, MA 02136,",9.76
"3492 Washington St,Jamaica Plain, MA 02130,",5.41
"224 Columbia Rd,Dorchester, MA 02121,",2.73
"472 Commonwealth Ave,Boston, MA 02215,",7.64
"672 E Broadway,South Boston, MA 02127,",2.42
