,0
"100 Morrissey Blvd,Boston, MA 02125,",0.7385515284006134 -1.2398649590497006
"1409 Centre St,West Roxbury, MA 02132,",0.7381939270175076 -1.241544829728099
"2350 Washington St,Boston, MA 02119,",0.7388136724909399 -1.2406353229469216
"1427 Tremont St,Roxbury Crossing, MA 02120,",0.7388523577138105 -1.2408417753261458
"120 Blackstone St,Boston, MA 02109,",0.7393773937680476 -1.2401489790968716
"102 Broad St,Boston, MA 02110,",0.7392986654561484 -1.240071071089721
"82 Summer St,Boston, MA 02110,",0.739239011847645 -1.2401757943354992
"582 Dorchester Ave,Boston, MA 02127,",0.7388194879280074 -1.2401521599594332
"1252 Washington St,Boston, MA 02118,",0.7390389875160552 -1.240335765978749
"243 Dorchester St,South Boston, MA 02127,",0.7388711584005129 -1.2400549617007253
"204 Cambridge St,Boston, MA 02114,",0.7393599195315766 -1.2403111420009976
"962 Blue Hill Ave,Dorchester Center, MA 02124,",0.7381393252645236 -1.2407138278566763
"153 Sutherland Rd,Brighton, MA 02135,",0.7390141898780428 -1.2417241308928149
"395 Dorchester St,Boston, MA 02127,",0.7388223441593283 -1.2401474370984775
"93 Salem St,Boston, MA 02113,",0.7394110105547704 -1.2401297752391118
"1508 Dorchester Ave,Dorchester, MA 02122,",0.7382859547383066 -1.2402127412104347
"4025 Washington St,Roslindale, MA 02131,",0.7381576503490049 -1.2412978211330457
"539 Dudley St,Roxbury, MA 02119,",0.7386777069788862 -1.2404239181959444
"284 Amory St,The Milky Way Lounge,Jamaica Plain, MA 02130,",0.7385562137369904 -1.2409844367938747
"361 Hanover St,Boston, MA 02113,",0.7394263485082367 -1.240093294367087
"111 Salem St,Boston, MA 02113,",0.7394196892044755 -1.2401284095189722
"160 Massachusetts Ave,Boston, MA 02115,",0.7391066277512164 -1.2406788366231674
"1 Blackfan Cir,Boston, MA 02115,",0.7389643249486488 -1.2409909014934242
"436 Western Ave,Brighton, MA 02135,",0.7393850932880427 -1.2416200150216163
"1282 Boylston,Boston, MA 02215,",0.7390758689411439 -1.2408569178027362
"123 Stuart St,Boston, MA 02116,",0.7391926445580715 -1.240307139088358
"961 Commonwealth Ave,Boston, MA 02215,",0.7392000944959837 -1.2412399652136716
"161 Blue Hill Ave,Roxbury, MA 02119,",0.7386344585926865 -1.2405193597807604
"28 Damrell St,Ste 107,Boston, MA 02127,",0.7388758856247918 -1.2401350958753363
"38 Brooks St,Boston, MA 02135,",0.7392782372499186 -1.2419926087829967
"956 American Legion Hwy,Boston, MA 02131,",0.7378562555491303 -1.2411671003353946
"305 Huntington Ave,Boston, MA 02115,",0.739017272129502 -1.2406832348528825
"1 Stuart St,Boston, MA 02116,",0.7391884732211592 -1.2402625249820187
"535 Columbia Rd,Boston, MA 02125,",0.7385751837206302 -1.2403123227162365
"256 Washington St,Brighton, MA 02135,",0.7391345835625102 -1.241772317688133
"600 Washington St,Boston, MA 02135,",0.7391777525362287 -1.242074325098575
"218 Market St,Brighton, MA 02135,",0.7392597594491278 -1.2417715846498474
"483 E Broadway,Boston, MA 02127,",0.7389150420865603 -1.239955390666899
"1282 Hyde Park Ave,Hyde Park, MA 02136,",0.7375177829746263 -1.24132616178944
"3492 Washington St,Jamaica Plain, MA 02130,",0.7384083686413832 -1.241035985965997
"224 Columbia Rd,Dorchester, MA 02121,",0.7384285559921764 -1.240492957312501
"472 Commonwealth Ave,Boston, MA 02215,",0.7391467563613782 -1.2407950223188082
"672 E Broadway,South Boston, MA 02127,",0.7389206760093857 -1.2398163463940448
"283 Old Colony Ave,Boston, MA 02127,",0.7388273864155371 -1.2400829515459395
