,0
"660A Centre St,Jamaica Plain, MA 02130,",0.7385205540423782 -1.2411494000787855
"107 Salem St,Boston, MA 02113,",0.7394180197970462 -1.240129053545466
"138 St James Ave,Boston, MA 02116,",0.7391541705200405 -1.2404897153634151
"66 Harrison Ave,Boston, MA 02111,",0.739192141903247 -1.240227069490929
"23 Edinboro St,Boston, MA 02111,",0.7392016338763839 -1.2402036829516172
"174 Lincoln St,Boston, MA 02111,",0.7391812388314096 -1.2401825138531193
"224 Boston St,Dorchester, MA 02125,",0.7386868760661114 -1.240224183589011
"686 Morton St,Boston, MA 02124,",0.7380302657482188 -1.2407680849071328
"222 Friend St,Boston, MA 02114,",0.7394179403845653 -1.2402246705358722
"465 Huntington Ave,Boston, MA 02115,",0.7389805163681193 -1.2407982974291494
"49 Temple Pl,Boston, MA 02111,",0.7392564729941464 -1.2402378800603158
"228 Tremont St,Boston, MA 02116,",0.7391938854871697 -1.2402888532737848
"1450 Dorchester Ave,Dorchester, MA 02122,",0.7383169221152249 -1.2402046315380655
"225 Grove St,West Roxbury, MA 02132,",0.7376311770161285 -1.2419062638542422
"711 Centre St,Jamaica Plain, MA 02130,",0.738496622087675 -1.241158972337068
"75 Chestnut St,Boston, MA 02108,",0.7392900845448812 -1.2403985524532606
"220 Northern Ave,Boston, MA 02210,",0.739154017803731 -1.2398389929137539
"753 South St,Roslindale, MA 02131,",0.7380733614181091 -1.2414170663908655
"7 Knapp St,Boston, MA 02111,",0.7391908250523264 -1.2402430828868158
"29-31 Austin St,Charlestown, MA 02129,",0.7396056025490628 -1.240328871928204
"1409 Centre St,West Roxbury, MA 02132,",0.7381939270175076 -1.241544829728099
"115 Beverly St,Boston, MA 02114,",0.739447973137669 -1.2402071099056033
"2350 Washington St,Boston, MA 02119,",0.7388136724909399 -1.2406353229469216
"433 Cambridge St,Allston, MA 02134,",0.739257136219262 -1.2415059036497917
"1427 Tremont St,Roxbury Crossing, MA 02120,",0.7388523577138105 -1.2408417753261458
"255 Tremont St,Boston, MA 02116,",0.7391786234555258 -1.2402980677395707
"793 Boylston St,Boston, MA 02116,",0.739156593909707 -1.2405829944852882
"2360 Washington St,Roxbury, MA 02119,",0.7388114698854237 -1.2406366572511345
"464 Centre St,Jamaica Plain, MA 02130,",0.7386346339982763 -1.2411104155319483
"57 Boston Wharf Rd,Boston, MA 02210,",0.7391943122201717 -1.2399558496884922
"100 Federal St,Boston, MA 02110,",0.7392642606532687 -1.240142207219374
"38 Hyde Park Ave,Boston, MA 02130,",0.7382781653338549 -1.241151703913398
"196 Quincy St,Boston, MA 02125,",0.7385258642066274 -1.2404609505920132
"120 Blackstone St,Boston, MA 02109,",0.7393773937680476 -1.2401489790968716
"782 Adams St,Dorchester, MA 02122,",0.7380015035948106 -1.240133158559867
"544 Tremont St,Boston, MA 02116,",0.739067573391209 -1.2404021434681967
"Boston University,775 Commonwealth Ave, George Sherman Union,Boston, MA 02215,",0.7391857025109718 -1.241064003736479
"15 Arlington St,Taj Boston,Boston, MA 02116,",0.7392177005048132 -1.2404088594951583
"102 Broad St,Boston, MA 02110,",0.7392986654561484 -1.240071071089721
"82 Summer St,Boston, MA 02110,",0.739239011847645 -1.2401757943354992
"109 Salem St,Boston, MA 02113,",0.7394187947232341 -1.2401281110676705
"1 Faneuil Hall Mrkt Pl,Boston, MA 02109,",0.7393478985763535 -1.2401174357613003
"1249 Vfw Pkwy,West Roxbury, MA 02132,",0.7379008094416106 -1.2421724859063656
"179 Essex St,Boston, MA 02111,",0.7392052693972159 -1.2401594833609748
"112 State St,Boston, MA 02109,",0.7393313476190568 -1.2401177141413162
"745 Atlantic Ave,Boston, MA 02111,",0.7391757890408205 -1.2401574910676338
"50 Lovejoy Wharf,Boston, MA 02114,",0.7394671220175572 -1.2402130623510172
"582 Dorchester Ave,Boston, MA 02127,",0.7388194879280074 -1.2401521599594332
"1252 Washington St,Boston, MA 02118,",0.7390389875160552 -1.240335765978749
"229 Brighton Ave,Allston, MA 02134,",0.7392323612705299 -1.2415251048895577
"243 Dorchester St,South Boston, MA 02127,",0.7388711584005129 -1.2400549617007253
"145 E Berkeley St,Boston, MA 02118,",0.7390580665827734 -1.2402916440552587
"1188 Blue Hill Ave,Mattapan, MA 02126,",0.7380142157004176 -1.2407560622065807
"1035 Tremont St,Roxbury Crossing, MA 02120,",0.7389361710424849 -1.2406546585770395
"215 Charles St,Boston, MA 02114,",0.7393781538589366 -1.2403898013723909
"204 Cambridge St,Boston, MA 02114,",0.7393599195315766 -1.2403111420009976
"431 Cambridge St,Allston, MA 02134,",0.7392578011897071 -1.241504701990602
"112 South St,Boston, MA 02111,",0.7391886756793525 -1.2401587887199323
"180 Brighton Ave,Allston, MA 02134,",0.7392235534664595 -1.241493042318534
"309 Huntington Ave,Boston, MA 02115,",0.7390150433440471 -1.2406860998108498
"1936 Beacon St,Brighton, MA 02135,",0.7389307579038097 -1.2417773547083544
"135 Massachusetts Ave,Boston, MA 02115,",0.73911863561647 -1.2406916604298468
"613 E Broadway,South Boston, MA 02127,",0.7389161564792877 -1.2398554758032099
"1971 Dorchester Ave,Boston, MA 02124,",0.7380158528192559 -1.2402929024376494
"155 Meridian St,Boston, MA 02128,",0.7395869798859439 -1.2398409616451505
"962 Blue Hill Ave,Dorchester Center, MA 02124,",0.7381393252645236 -1.2407138278566763
"80 W Broadway,Boston, MA 02127,",0.7390272484315064 -1.24012395892938
"483 E Broadway,South Boston, MA 02127,",0.7389150420865603 -1.239955390666899
"79 Hancock,Boston, MA 02125,",0.7385246660380956 -1.2402974490203509
"433 Columbus Ave,Boston, MA 02116,",0.7390652686839317 -1.2405178779962254
"153 Sutherland Rd,Brighton, MA 02135,",0.7390141898780428 -1.2417241308928149
"811 Harrison Ave,Boston, MA 02118,",0.7389234362475977 -1.2404550889037207
"395 Dorchester St,Boston, MA 02127,",0.7388223441593283 -1.2401474370984775
"131 Lexington St,Boston, MA 02128,",0.7396673409533583 -1.239769763556309
"1012 Bennington St,Boston, MA 02128,",0.7398171748516481 -1.2392710435765337
"297 Chelsea St,Boston, MA 02128,",0.7396420956383927 -1.2396900665866755
"984 Hyde Park Ave,Hyde Park, MA 02136,",0.7377054407758009 -1.2412709186279554
"291 Adams St,Dorchester, MA 02122,",0.7382844380471868 -1.2401746755794487
"275 Medford St,Ste C2,Boston, MA 02129,",0.7397166220701175 -1.2402347698835887
"242 Cambridge St,Boston, MA 02114,",0.73936310824812 -1.2403320100301989
"800 Boylston St,Boston, MA 02199,",0.7391383267650692 -1.24055774795368
"4 Fish Pier St W,Boston, MA 02210,",0.7391597459743362 -1.2398552803263339
"101 S Market St,Boston, MA 02109,",0.7393391858927275 -1.240131015295546
"252 Commercial St,Boston, MA 02109,",0.7394143729315742 -1.240054360434798
"93 Salem St,Boston, MA 02113,",0.7394110105547704 -1.2401297752391118
"5 Fairmount Ave,Hyde Park, MA 02136,",0.7375233357396417 -1.2412731474134102
"288 Cambridge St,Boston, MA 02114,",0.7393628735013358 -1.2403504581603928
"1508 Dorchester Ave,Dorchester, MA 02122,",0.7382859547383066 -1.2402127412104347
"11A Allstate Rd,South Bay Shopping Center,South Bay Shopping Center,Dorchester, MA 02125,",0.7388108070042861 -1.2402220425987052
"135 Richmond St,Boston, MA 02109,",0.7394014732030726 -1.2401054846192472
"569 Tremont St,Boston, MA 02118,",0.7390611942127929 -1.2404216684665383
"900 Boylston St,Boston, MA 02115,",0.7391305745412182 -1.2406470393421902
"4025 Washington St,Roslindale, MA 02131,",0.7381576503490049 -1.2412978211330457
"101 Arch St,Boston, MA 02110,",0.7392565934218644 -1.2401848700476095
"12 Pi Aly,Boston, MA 02108,",0.7393142477557103 -1.2401747576099236
"264 E Berkeley St,Boston, MA 02118,",0.7390550183652348 -1.2402566589304025
"Dewey Sq,Boston, MA 02111,",0.7392292161872179 -1.240111144722012
"384 Western Ave,Brighton, MA 02135,",0.7393931331472419 -1.241568011191224
"1 Faneuil Hall Market Pl,Boston, MA 02109,",0.7395168939158145 -1.2399934062120233
"458 Western Ave,Brighton, MA 02135,",0.7393806348444686 -1.2416429695919386
"34 Yawkey Way,Boston, MA 02215,",0.7391285281426704 -1.2409105439166686
"10 Avery St,Boston, MA 02111,",0.7392268626107215 -1.2402665217860058
"6 Prince St,Boston, MA 02113,",0.7394173687892353 -1.2400983270239847
"89 Charles St,Boston, MA 02114,",0.7393202481976787 -1.2403926715663458
"253 Hanover St,Boston, MA 02113,",0.7394018824827823 -1.240117732467273
"418 Market St,Brighton, MA 02135,",0.7391591577983782 -1.2418352402983261
"1 Ashburton Pl,Boston, MA 02108,",0.739336903002066 -1.2402456956447063
"555 Talbot Ave,Dorchester, MA 02124,",0.7380546837771189 -1.2402874107591582
"630 Adams St,Dorchester, MA 02122,",0.7380911890837536 -1.240121984089331
"291 Roxbury St,Boston, MA 02119,",0.7388271394514483 -1.2408076777012143
"44 Harvard Ave,Allston, MA 02134,",0.7392506531937554 -1.2414700947295285
"28 Harrison Ave,Boston, MA 02111,",0.7392037998299855 -1.240227162866044
"1064 River St,Hyde Park, MA 02136,",0.7375788782250926 -1.2412156475412035
"Boston, MA 02108,",0.7393833081601962 -1.240148063327701
